,iqr-Outlier,iqr-Prob,ifor-Score,ifor-Outlier,ifor-Prob,lof-Score,lof-Outlier,lof-Prob,ocsvm-Score,ocsvm-Outlier,svm-Prob,outlier,actual Outlier
999,1,Likely an Outlier,0.015726977467842684,1,Maybe Outlier,1.0318558102224147,1,Maybe Outlier,9.791863338635952,-1,likely no Outlier,1, an Outlier
998,1,Likely an Outlier,-0.02731416555709054,-1,Maybe Outlier,1.0792918462788585,1,Maybe Outlier,9.7922155713816,-1,likely no Outlier,1, an Outlier
997,1,Likely an Outlier,-0.011577502550174867,-1,Maybe Outlier,1.0962446438396132,1,Maybe Outlier,9.79266066625684,-1,likely no Outlier,1, an Outlier
996,1,Likely an Outlier,-0.07837935641379157,-1,Maybe Outlier,1.0483999205685248,1,Maybe Outlier,9.793023905027225,-1,likely no Outlier,-1, no Outlier
995,1,Likely an Outlier,-0.0407184227173254,-1,Maybe Outlier,1.0039309217842878,1,Maybe Outlier,9.79349924943402,-1,likely no Outlier,1, an Outlier
994,1,Likely an Outlier,0.005531514890448785,1,Maybe Outlier,1.065169069296631,1,Maybe Outlier,9.793873561714495,1,likely no Outlier,1, an Outlier
993,1,Likely an Outlier,-0.016428273693958384,-1,Maybe Outlier,1.4822671943995873,-1,Likely an Outlier,9.794290103625018,1,likely no Outlier,1, an Outlier
992,1,Likely an Outlier,-0.024279409384172057,-1,Maybe Outlier,0.9654903905312402,1,Likely no Outlier,9.794715775214048,1,likely no Outlier,1, an Outlier
991,1,Likely an Outlier,-0.04212310293788235,-1,Maybe Outlier,0.9885293178723475,1,Likely no Outlier,9.795090774309944,1,likely no Outlier,1, an Outlier
990,1,Likely an Outlier,0.02259793992279746,1,Maybe Outlier,0.9771880359173603,1,Likely no Outlier,9.795515883428184,1,likely no Outlier,1, an Outlier
989,1,Likely an Outlier,-0.002572543013183326,-1,Maybe Outlier,0.9862732833143415,1,Likely no Outlier,9.79592226885882,1,likely no Outlier,1, an Outlier
988,1,Likely an Outlier,-0.001815139135105448,-1,Maybe Outlier,1.1600461812860625,1,Maybe Outlier,9.79632057887284,1,likely no Outlier,1, an Outlier
987,1,Likely an Outlier,-0.002599745830607958,-1,Maybe Outlier,0.9589852807765615,1,Likely no Outlier,9.79672151887764,1,likely no Outlier,1, an Outlier
986,1,Likely an Outlier,-0.06657972177727711,-1,Maybe Outlier,1.0438914197618097,1,Maybe Outlier,9.797082832659424,1,likely no Outlier,-1, no Outlier
985,1,Likely an Outlier,0.020239540582983606,1,Maybe Outlier,1.0591245284655106,1,Maybe Outlier,9.797500838966439,1,likely no Outlier,1, an Outlier
984,1,Likely an Outlier,0.02106014336251072,1,Maybe Outlier,1.014127479952291,1,Maybe Outlier,9.797919466304608,1,likely no Outlier,1, an Outlier
983,1,Likely an Outlier,0.0212742868150414,1,Maybe Outlier,1.0753605735793774,1,Maybe Outlier,9.798284730973412,1,likely no Outlier,1, an Outlier
982,1,Likely an Outlier,0.01988578286154874,1,Maybe Outlier,0.981769189800476,1,Likely no Outlier,9.798685449835634,1,likely no Outlier,1, an Outlier
981,1,Likely an Outlier,-0.011242377268061321,-1,Maybe Outlier,0.9476073517510878,1,Likely no Outlier,9.79910298672653,1,likely no Outlier,1, an Outlier
980,1,Likely an Outlier,-0.007229227364987656,-1,Maybe Outlier,0.9389282917051037,1,Likely no Outlier,9.799495125543459,1,likely no Outlier,1, an Outlier
979,1,Likely an Outlier,-0.012425985264668205,-1,Maybe Outlier,1.6541326870468687,-1,Likely an Outlier,9.799862557435114,1,likely no Outlier,1, an Outlier
978,1,Likely an Outlier,0.015915950458162742,1,Maybe Outlier,1.0397424660052312,1,Maybe Outlier,9.80027284437371,1,likely no Outlier,1, an Outlier
977,1,Likely an Outlier,-0.0720645081804705,-1,Maybe Outlier,1.4388511557641883,-1,Likely an Outlier,9.80067524223137,1,likely no Outlier,-1, no Outlier
976,1,Likely an Outlier,0.027049818890102384,1,Maybe Outlier,1.0068700580649357,1,Maybe Outlier,9.801059599787848,1,likely no Outlier,1, an Outlier
975,1,Likely an Outlier,-0.026718155149826228,-1,Maybe Outlier,0.9740572635057306,1,Likely no Outlier,9.80144277670939,1,likely no Outlier,1, an Outlier
974,1,Likely an Outlier,0.030153763017750967,1,Maybe Outlier,0.9580314679025488,1,Likely no Outlier,9.801834669740801,1,likely no Outlier,1, an Outlier
973,1,Likely an Outlier,0.035861861746947166,1,Maybe Outlier,1.0221490704074052,1,Maybe Outlier,9.802223678397533,1,likely no Outlier,1, an Outlier
